steps|precision|actual value|calculated value
64|775730415459.0887|4.165738125505235|4.10120012850601
64|775730415459.0887|7.513594237755614|7.305868873992939
64|775730415459.0887|12.784953674674496|12.284440765797086
64|775730415459.0887|21.17040393169253|20.099702427550596
64|775730415459.0887|34.58415533239143|32.43853917971533
64|775730415459.0887|56.105774572278435|51.9802494866848
64|775730415459.0887|90.69128967245007|82.98195265616752
64|775730415459.0887|146.31797201855858|132.20908914264646
64|775730415459.0887|235.82731487773535|210.41447612275547
64|775730415459.0887|379.8920649936563|334.68933533981954
64|775730415459.0887|611.7929055606762|532.2003860621274
64|775730415459.0887|985.1085548672796|846.1301885695025
64|775730415459.0887|1586.0962628276945|1345.1197102901758
64|775730415459.0887|2553.6235212100796|2138.277920092086
64|775730415459.0887|4111.256699268994|3399.0405614360125
64|775730415459.0887|6618.921476183987|5403.095309556815
64|775730415459.0887|10656.072491218289|8588.666420787353
64|775730415459.0887|17155.590619068826|13652.341342656262
64|775730415459.0887|27619.348153987343|21701.393730125463
64|775730415459.0887|44465.25358207092|34495.91140790522
64|775730415459.0887|71585.96924063015|54833.6755065585
64|775730415459.0887|115248.40743332497|87161.95246300894
64|775730415459.0887|185541.85588266843|138549.97971326543
64|775730415459.0887|298709.35781477875|220234.7989554826
64|775730415459.0887|480901.06985681964|350078.4650298876
64|775730415459.0887|774216.9041629933|556473.949373816
64|775730415459.0887|1246434.7570749193|884553.8436974316
64|775730415459.0887|2006672.2727848957|1406059.5238745091
64|775730415459.0887|3230601.1808707137|2235028.8685064223
64|775730415459.0887|5201040.6056450065|3552732.972556505
64|775730415459.0887|8373309.438061982|5647314.778318606
64|775730415459.0887|13480439.056294797|8976797.420787988
64|775730415459.0887|21702558.403099068|14269240.350347366
64|775730415459.0887|34939592.04243685|22681944.416673098
64|775730415459.0887|56250284.843611084|36054519.3603861
64|775730415459.0887|90559000.83295287|57311152.09342997
64|775730415459.0887|145793619.61468554|91100039.95200843
64|775730415459.0887|234717469.5461436|144809814.0759691
64|775730415459.0887|377878611.2550951|230185214.6671896
64|775730415459.0887|608357976.5911058|365895318.554497
64|775730415459.0887|979413538.2582601|581615914.5292822
64|775730415459.0887|1576786885.0802276|924518721.2826139
64|775730415459.0887|2538515942.286642|1469586448.1170757
64|775730415459.0887|4086832057.1515574|2336009297.3481007
64|775730415459.0887|6579512062.593003|3713248338.869371
64|775730415459.0887|10592551486.438263|5902465046.593544
64|775730415459.0887|17053262601.455307|9382376411.932749
64|775730415459.0887|27454552921.12769|14913936201.281399
64|775730415459.0887|44199898501.22124|23706733054.645058
64|775730415459.0887|71158726682.99123|37683491771.66968
64|775730415459.0887|114560543233.02902|59900516398.958305
64|775730415459.0887|184434414127.64417|95216013595.6232
64|775730415459.0887|296926429943.8166|151352438844.7442
64|775730415459.0887|478030660471.8671|240585169229.40045
64|775730415459.0887|769595729131.9869|382426765600.4751
64|775730415459.0887|1238994975162.3792|607893792938.6259
64|775730415459.0887|1994694734349.7344|966289226417.1793
64|775730415459.0887|3211318175621.4204|1535983554917.1013
64|775730415459.0887|5169996314467.815|2441552090695.8877
64|775730415459.0887|8323330305455.829|3881015908339.735
64|775730415459.0887|13399976162429.902|6169143201238.436
64|775730415459.0887|21573018799457.1|9806279782467.43
64|775730415459.0887|34731042389954.504|15587759926325.832
128|261937605326.91943|2.0|2.0
128|261937605326.91943|2.9606237911891986|2.9532430595245494
128|261937605326.91943|4.144822461375169|4.126076053517119
128|261937605326.91943|5.614620637217998|5.578933944376078
128|261937605326.91943|7.4483839346955625|7.3880292979097515
128|261937605326.91943|9.74518713324864|9.649533443428753
128|261937605326.91943|12.63034520055282|12.484860906156298
128|261937605326.91943|16.26241709414909|16.047348588927573
128|261937605326.91943|20.842074840989305|20.530698159135436
128|261937605326.91943|26.623334973589998|26.179647408055565
128|261937605326.91943|33.927781844629436|33.30345936316372
128|261937605326.91943|43.16258007529774|42.29297343831498
128|261937605326.91943|54.84328581972066|53.64215948314103
128|261937605326.91943|69.6227355570454|67.97536408972861
128|261937605326.91943|88.32763183614637|86.08175264474033
128|261937605326.91943|112.00487689583456|108.95884771373079
128|261937605326.91943|141.98025155577946|137.86756632515875
128|261937605326.91943|179.93272885538332|174.4017932860048
128|261937605326.91943|227.98858840778664|220.57632982703169
128|261937605326.91943|288.84060747014286|278.9380709105971
128|261937605326.91943|365.8990105378788|352.70654639642123
128|261937605326.91943|463.4826396595083|445.95158168958875
128|261937605326.91943|587.0610624483979|563.8178819126226
128|261937605326.91943|743.5611903418719|712.8089330903243
128|261937605326.91943|941.7555961098127|901.1458872091307
128|261937605326.91943|1192.7542996830691|1139.2212359509417
128|261937605326.91943|1510.6275918154229|1440.1723087541448
128|261937605326.91943|1913.1948110848623|1820.6062432830129
128|261937605326.91943|2423.023293097263|2301.5164352933184
128|261937605326.91943|3068.6934930251177|2909.4410415475945
128|261937605326.91943|3886.4012043106286|3677.9274669725182
128|261937605326.91943|4921.986693997232|4649.3836527901285
128|261937605326.91943|6233.50450812964|5877.41832771161
128|261937605326.91943|7894.478010663587|7429.799367386428
128|261937605326.91943|9998.021105533317|9392.19351719518
128|261937605326.91943|12662.058205871073|11872.89385249412
128|261937605326.91943|16035.935082181666|15008.795858057132
128|261937605326.91943|20308.791194041693|18972.951912684537
128|261937605326.91943|25720.1628587763|23984.12106819214
128|261937605326.91943|32573.411671435442|30318.841120993
128|261937605326.91943|41252.73097416488|38326.68916552933
128|261937605326.91943|52244.68375875354|48449.57277307109
